Date,A1,A7,A30,AR2,AR7,AR30,New User,NU R2,NU R7,NU R30,NU R2_Abs,NU R7_Abs,NU R30_Abs,Revival7,Revival7 R2,Revival7 R7,Revival7 R30,Revival30,Revival30 R2,Revival30 R7,Revival30 R30,C7,C7 Rate,C30,C30 Rate,Retained 7,New User A7,Revival 7 A7,Retained 30,New User A30,Revival 30 A30,EO Month
2022-08-30,4679061,9807082,17713666,73.09%,58.62%,35.69%,160347,42.40%,16.10%,4.20%,68065,25758,6678,351815,31.80%,17.60%,9.00%,153959,29.00%,13.60%,6.20%,2721219,31.10%,9277922,47.90%,6028603,1162611,2615868,10097875,4977192,2638599,0
2022-08-31,4577436,9865084,17687821,74.78%,59.06%,37.95%,155388,43.50%,15.80%,4.50%,67535,24585,6935,316772,34.70%,18.60%,9.70%,136040,32.40%,14.90%,6.70%,2711810,31.00%,9305717,47.90%,6026545,1171396,2667143,10111676,4943769,2632376,1
2022-09-01,4636646,9892143,17672405,75.64%,59.23%,40.84%,160133,45.50%,16.50%,5.10%,72798,26408,8101,303810,40.10%,21.00%,12.30%,116833,40.20%,18.20%,9.10%,2709905,31.00%,9320329,47.90%,6027807,1180059,2684277,10119145,4932183,2621077,0
2022-09-02,4761399,9925775,17688318,73.04%,59.35%,38.50%,172119,43.10%,17.00%,4.80%,74115,29267,8207,322219,36.90%,21.50%,11.40%,122220,38.80%,19.30%,8.70%,2690158,30.80%,9286021,47.80%,6039976,1185290,2700509,10127024,4935896,2625398,0
2022-09-03,4583839,9334893,17664637,73.22%,62.01%,36.29%,153728,44.20%,18.10%,4.40%,67913,27756,6692,274443,37.70%,23.40%,10.30%,105091,39.60%,21.00%,8.10%,3260716,34.80%,9260149,47.80%,6096624,1142590,2095679,10130352,4915723,2618562,0
2022-09-04,4444491,9059508,17600605,73.40%,62.10%,34.76%,146614,44.20%,18.10%,4.10%,64750,26595,5944,262994,37.60%,23.00%,9.60%,98901,39.80%,20.60%,7.70%,3506165,36.50%,9271343,47.80%,6093622,1109747,1856139,10113620,4881827,2605158,0
2022-09-05,4329715,8896515,17541150,74.48%,62.07%,35.95%,139443,44.90%,18.20%,4.20%,62547,25410,5900,251003,38.70%,23.00%,10.20%,93579,41.20%,20.90%,7.90%,3637238,37.50%,9261026,47.80%,6072146,1087772,1736597,10094842,4848350,2597958,0
2022-09-06,4288028,8731465,17468702,75.13%,61.08%,36.61%,133104,46.50%,18.20%,4.50%,61887,24248,6009,247134,38.90%,22.20%,10.20%,91588,41.50%,20.30%,8.10%,3766025,38.40%,9127885,47.70%,6041057,1060529,1629879,10009144,4805970,2653588,0
2022-09-07,4307234,8624254,17387373,75.15%,60.40%,37.82%,132791,46.40%,18.00%,4.70%,61613,23899,6243,255139,39.20%,21.80%,10.90%,92877,42.00%,20.10%,8.60%,3838724,38.90%,9054148,47.60%,6026360,1037932,1559962,9949618,4764773,2672982,0
2022-09-08,4405206,8569678,17341661,75.61%,59.31%,40.00%,141001,46.70%,17.40%,5.30%,65881,24465,7476,282612,40.40%,20.70%,12.40%,101714,42.30%,19.20%,9.40%,3865078,39.10%,8953772,47.50%,6027065,1018800,1523813,9909497,4736796,2695368,0
2022-09-09,4602346,8529415,17344412,72.75%,57.91%,37.93%,159569,44.50%,17.30%,4.90%,70988,27631,7748,331904,36.10%,20.00%,11.40%,118562,38.80%,18.50%,8.70%,3903622,39.30%,8843514,47.20%,6022153,1006250,1501012,9885729,4732658,2726025,0
2022-09-10,4481739,8493869,17317405,72.63%,59.40%,36.30%,146378,44.50%,17.60%,4.50%,65159,25724,6597,298802,36.20%,21.00%,10.50%,105632,38.80%,19.10%,8.10%,3372760,36.10%,8743827,47.00%,5962133,998900,1532836,9853143,4716176,2748086,0
2022-09-11,4354854,8461628,17253926,72.36%,59.28%,35.25%,140114,43.80%,17.00%,4.20%,61332,23883,5954,276319,35.80%,20.60%,10.00%,99601,38.90%,18.70%,7.70%,3143832,34.70%,8652191,46.90%,5915676,992400,1553552,9813606,4680210,2760110,0
2022-09-12,4192671,8426593,17170632,73.50%,59.79%,35.34%,126373,45.70%,17.30%,4.20%,57711,21922,5330,245599,37.50%,20.60%,9.70%,89418,40.40%,18.90%,7.70%,3010210,33.80%,8606889,46.80%,5886305,979330,1560958,9778663,4637115,2754854,0
2022-09-13,4134489,8404558,17088638,73.78%,58.53%,33.77%,126203,45.60%,17.10%,3.70%,57549,21591,4636,240990,37.60%,19.90%,9.00%,87557,40.50%,18.60%,7.20%,2869889,32.90%,8551084,46.80%,5861576,972429,1570553,9733622,4600138,2754878,0
2022-09-14,4131557,8381919,17025428,72.99%,57.83%,37.18%,128555,46.10%,16.80%,4.40%,59226,21620,5683,243869,37.30%,19.50%,10.10%,89044,40.20%,18.00%,7.80%,2778600,32.20%,8485014,46.70%,5845654,968193,1568072,9692248,4573544,2759636,0
2022-09-15,4163522,8363553,16992667,73.57%,44.28%,40.18%,133490,46.60%,8.00%,5.00%,62236,10745,6729,269602,39.10%,11.60%,12.20%,95244,41.10%,10.50%,8.90%,2724601,31.80%,8382124,46.40%,5845077,960682,1557794,9667958,4553321,2771388,0
2022-09-16,4316577,8332673,16997061,70.79%,48.84%,37.20%,151871,44.40%,9.80%,4.60%,67474,14886,6960,317559,35.10%,14.60%,11.00%,113286,37.70%,13.00%,8.30%,2694193,31.60%,8235140,46.10%,5835222,952984,1544467,9646211,4552069,2798781,0
2022-09-17,4198062,8287792,16973071,71.01%,52.13%,35.72%,141504,44.50%,11.30%,4.20%,63002,16019,5935,286974,35.60%,17.10%,10.20%,101882,38.40%,15.00%,7.70%,2687132,31.60%,7945987,45.30%,5806737,948110,1532945,9602006,4533433,2837632,0
2022-09-18,4095689,8236754,16907742,70.33%,52.43%,34.28%,133596,43.50%,11.60%,4.00%,58173,15457,5401,267459,34.60%,17.20%,9.30%,94501,37.80%,15.30%,7.20%,2688822,31.80%,7990119,45.40%,5772806,941592,1522356,9599522,4497053,2811167,0
2022-09-19,3914769,8191051,16827611,71.82%,51.54%,35.65%,120101,45.00%,10.90%,4.00%,54001,13117,4787,238456,36.30%,16.20%,9.60%,84200,39.30%,15.00%,7.40%,2686636,31.90%,8030187,45.60%,5739957,935320,1515774,9579575,4458154,2789882,0
2022-09-20,3855926,8142008,16749870,54.41%,49.83%,35.44%,116732,22.90%,11.00%,4.10%,26752,12890,4782,236034,22.00%,15.60%,9.50%,83477,23.90%,14.30%,7.30%,2698609,32.10%,8048700,45.70%,5705949,925849,1510210,9557481,4417608,2774781,0
2022-09-21,2814497,8009372,16675229,76.49%,59.70%,44.71%,125232,50.20%,21.00%,9.30%,62850,26268,11617,164113,43.10%,21.20%,13.00%,66754,43.40%,19.70%,10.20%,2758441,32.90%,8056765,45.80%,5623478,922526,1463368,9523783,4393339,2758107,0
2022-09-22,3327381,7935849,16640855,76.01%,55.99%,46.00%,138660,46.10%,16.80%,8.90%,63940,23294,12330,231912,43.40%,19.20%,15.90%,88523,42.70%,17.20%,11.20%,2791548,33.40%,8048342,45.90%,5572005,927696,1436148,9500447,4385310,2755098,0
2022-09-23,3957861,8152502,16707248,66.33%,51.73%,40.07%,165925,38.10%,14.80%,6.90%,63295,24584,11529,589072,19.40%,9.70%,11.10%,160318,25.80%,11.70%,8.40%,2822984,33.90%,7996089,45.70%,5509689,941750,1701063,9502576,4404632,2800040,0
2022-09-24,3661300,8092021,16679024,68.78%,59.47%,39.54%,134921,39.60%,17.10%,5.90%,53490,23083,7917,331383,29.20%,17.40%,10.70%,111695,31.90%,16.30%,7.70%,2882543,34.80%,7974072,45.70%,5405249,935167,1751605,9480598,4388083,2810343,0
2022-09-25,3464298,7941314,16594820,67.92%,58.57%,39.95%,113660,38.10%,16.30%,5.70%,43313,18569,6435,279045,28.60%,17.90%,11.10%,95758,31.20%,16.10%,8.00%,2980170,36.20%,7986434,45.80%,5256584,915231,1769499,9465444,4334855,2794521,0
2022-09-26,3182165,7686049,16168723,71.56%,57.37%,42.41%,92748,42.40%,15.60%,5.90%,39297,14438,5448,209430,33.40%,17.80%,11.70%,74146,35.20%,15.80%,8.30%,3141496,38.40%,8302774,46.90%,5049555,887878,1748616,9404150,4231175,2533398,0
2022-09-27,3192852,7153806,15912110,70.18%,54.79%,41.13%,94456,40.90%,14.60%,5.50%,38673,13750,5177,216188,33.60%,17.10%,11.00%,83057,31.30%,13.60%,6.90%,3578381,43.90%,8372829,47.30%,4563627,865602,1724577,9337432,4146174,2428504,0
2022-09-28,3108451,7188900,15735524,72.71%,56.13%,44.45%,89030,42.90%,14.90%,6.10%,38237,13287,5435,220676,36.60%,18.50%,13.10%,84612,31.20%,13.10%,7.30%,3425215,42.80%,8410676,47.50%,4584157,829400,1775343,9302525,4073786,2359213,0
2022-09-29,3276311,7199449,15569024,75.06%,55.34%,46.83%,101579,45.40%,15.30%,7.10%,46123,15506,7204,235064,44.20%,20.20%,16.50%,79936,40.80%,15.90%,10.10%,3288118,41.40%,8454864,47.70%,4647731,792319,1759399,9258802,4015018,2295204,0
2022-09-30,3618584,6901398,15481720,68.84%,55.18%,43.50%,125158,40.80%,16.30%,6.50%,51104,20459,8077,301235,37.60%,21.20%,15.00%,102498,36.70%,17.30%,9.50%,3446221,42.30%,8451537,47.80%,4706281,751552,1443565,9236284,3984788,2260648,1
2022-10-01,3413151,6784927,15378169,66.91%,59.96%,42.93%,111007,40.00%,17.90%,6.10%,44371,19869,6781,257189,36.50%,24.70%,14.80%,87595,36.10%,20.00%,9.50%,3393857,41.90%,8463175,47.90%,4698164,727638,1359125,9209230,3935662,2233277,0
2022-10-02,3093314,6649580,15203250,67.62%,61.05%,42.12%,91002,39.50%,17.70%,5.40%,35959,16093,4893,202201,34.50%,24.50%,13.00%,70021,35.70%,20.20%,8.70%,3295822,41.50%,8528282,48.20%,4645492,704980,1299108,9160036,3854545,2188669,0
2022-10-03,2859180,6561594,15029870,71.31%,60.24%,44.06%,76474,43.10%,16.60%,5.70%,32946,12719,4342,163285,38.10%,22.50%,13.50%,57087,39.40%,19.40%,9.40%,3097785,40.30%,8567170,48.50%,4588264,688706,1284624,9097467,3777291,2155112,0
2022-10-04,2907938,6482213,14880713,71.14%,57.55%,43.71%,81140,43.20%,15.40%,5.80%,35027,12497,4704,179253,38.30%,20.40%,13.20%,59921,39.50%,17.70%,9.30%,2661412,37.20%,8566035,48.70%,4492394,675390,1314429,9034570,3711817,2134326,0
2022-10-05,2956206,6448797,14765019,71.77%,56.46%,44.60%,85016,43.60%,14.90%,6.10%,37050,12648,5185,194907,39.10%,19.40%,13.60%,63689,40.30%,17.30%,9.50%,2681585,37.30%,8549814,48.70%,4507315,671376,1270106,8991336,3657390,2116293,0
2022-10-06,3147029,6457804,14692521,73.03%,52.29%,46.08%,98452,45.00%,13.30%,6.90%,44276,13052,6764,239222,41.50%,16.20%,15.40%,80857,42.20%,14.80%,10.70%,2667494,37.10%,8508030,48.70%,4531955,668249,1257600,8960672,3622738,2109111,0
2022-10-07,3454911,6435175,14664987,68.54%,54.20%,42.82%,122594,40.70%,15.00%,6.00%,49916,18336,7396,306842,36.50%,18.60%,13.60%,105733,37.70%,16.40%,9.30%,2381001,34.50%,8451663,48.60%,4520397,665685,1249093,8935710,3612541,2116736,0
2022-10-08,3329464,6422351,14599193,66.77%,59.33%,40.30%,111566,39.90%,17.00%,5.50%,44469,18986,6122,275295,35.20%,22.10%,12.20%,95178,37.00%,18.90%,8.60%,2286978,33.70%,8431720,48.60%,4497949,666244,1258158,8909941,3583106,2106146,0
2022-10-09,3107501,6446437,14459876,67.38%,58.28%,39.40%,100794,40.30%,15.60%,4.90%,40638,15745,4934,239561,35.80%,21.00%,11.10%,85092,37.40%,18.40%,8.00%,2176810,32.70%,8478302,48.90%,4472770,676036,1297631,8866110,3524331,2069435,0
2022-10-10,2893722,6466581,14296625,68.74%,57.90%,41.69%,83583,40.50%,15.50%,5.30%,33824,12955,4434,192833,35.00%,20.60%,12.20%,65738,36.70%,18.30%,8.70%,2104399,32.10%,8518869,49.20%,4457195,683145,1326241,8798536,3461536,2036553,0
2022-10-11,2800653,6444482,14126090,67.73%,56.38%,42.23%,74559,39.50%,14.70%,5.40%,29445,10997,4062,173440,33.10%,19.10%,12.40%,58319,36.90%,17.10%,9.10%,2046294,31.60%,8533809,49.50%,4435919,676564,1331999,8720117,3395981,2009992,0
2022-10-12,2651400,6374267,13970557,72.37%,58.12%,45.21%,66591,42.30%,14.90%,5.90%,28172,9910,3914,154261,37.00%,19.10%,13.70%,54180,39.80%,17.80%,9.90%,2036374,31.60%,8525842,49.70%,4412423,658139,1303705,8644790,3336199,1989568,0
2022-10-13,2969927,6347801,13854311,73.60%,54.03%,46.51%,86225,44.70%,13.80%,6.70%,38529,11923,5798,226443,40.40%,17.10%,15.50%,74384,41.70%,15.60%,10.70%,2039099,31.60%,8510511,49.80%,4418705,645912,1283184,8578127,3296221,1979963,0
2022-10-14,3334264,6321192,13785220,67.20%,54.33%,42.45%,114171,39.40%,15.20%,5.90%,44971,17313,6775,301333,33.80%,18.80%,13.00%,103720,36.30%,16.60%,9.30%,2031905,31.60%,8505010,50.00%,4403270,637489,1280433,8520418,3281837,1982965,0
2022-10-15,3125490,6250223,13668917,66.05%,60.24%,40.90%,97534,38.40%,17.80%,5.50%,37445,17349,5345,248237,32.30%,22.90%,11.80%,88441,35.30%,19.80%,8.90%,2057749,32.00%,8538050,50.20%,4364602,623457,1262164,8454617,3245881,1968419,0
2022-10-16,2884147,6168229,13454844,66.27%,60.76%,41.12%,81064,38.40%,16.50%,5.20%,31123,13369,4188,206355,31.50%,21.40%,11.50%,72205,34.00%,19.00%,8.40%,2109585,32.70%,8643337,50.90%,4336852,603727,1227650,8353724,3175074,1926046,0
2022-10-17,2652561,6088551,13214378,69.98%,59.31%,43.67%,65471,40.80%,15.40%,5.80%,26710,10104,3822,168044,34.20%,19.60%,12.60%,56594,37.70%,18.00%,9.10%,2161364,33.40%,8744625,51.50%,4305217,585615,1197719,8228446,3099041,1886891,0
2022-10-18,2652951,6043588,12963644,69.40%,58.37%,37.86%,65295,40.20%,15.20%,3.70%,26256,9902,2419,174050,33.70%,19.50%,9.70%,57502,37.20%,18.00%,7.10%,2169669,33.70%,8833312,52.20%,4274813,576351,1192424,8074430,3030740,1858474,0
2022-10-19,2601236,6034516,12696648,71.87%,59.41%,44.93%,62701,42.90%,15.90%,5.00%,26917,9940,3133,171079,36.30%,20.20%,13.00%,57457,39.30%,18.80%,9.20%,2124258,33.30%,8941598,53.10%,4250009,572461,1212046,7886013,2973340,1837295,0
2022-10-20,2861607,6037103,12261795,73.39%,54.91%,47.04%,80943,44.90%,14.40%,5.80%,36378,11669,4688,231852,40.30%,17.50%,15.30%,79051,42.30%,16.20%,10.50%,2088192,32.90%,9251806,55.20%,4259609,567179,1210315,7498064,2937551,1826180,0
2022-10-21,3554625,6335416,12402828,62.02%,50.61%,40.14%,128827,34.70%,13.70%,4.80%,44697,17634,6205,601313,18.90%,10.80%,9.80%,191550,23.20%,11.30%,7.30%,2056853,32.50%,9090651,54.50%,4264339,581835,1489242,7584578,2941146,1877104,0
2022-10-22,3195721,6404368,12433261,63.78%,58.95%,41.05%,103290,36.00%,16.50%,4.40%,37133,17075,4561,350560,25.40%,18.40%,10.30%,127958,27.80%,16.70%,7.50%,2024079,32.40%,8995083,54.10%,4226144,587591,1590633,7645772,2905776,1881713,0
2022-10-23,2855825,6418362,12207586,67.43%,59.86%,41.23%,82423,39.00%,15.70%,4.40%,32169,12950,3605,254652,29.40%,19.20%,10.20%,95719,32.20%,17.00%,7.40%,1986676,32.20%,9120747,54.60%,4181553,588950,1647859,7586501,2822274,1798811,0
2022-10-24,2753202,6477920,12096617,69.63%,58.24%,42.15%,76955,40.90%,14.20%,4.50%,31499,10934,3448,238163,30.20%,16.80%,10.30%,101092,29.30%,13.30%,6.90%,1938935,31.80%,9111049,54.60%,4149616,600434,1727870,7567975,2764308,1764334,0
2022-10-25,2822903,6553102,12028976,67.54%,54.02%,41.80%,85414,39.60%,12.20%,4.40%,33862,10403,3768,239655,30.30%,15.40%,11.20%,100270,31.00%,12.60%,8.00%,1903133,31.50%,9051168,54.50%,4140455,620553,1792094,7543652,2736062,1749262,0
2022-10-26,2710035,6596510,11996005,71.36%,55.16%,43.61%,82418,42.30%,12.50%,4.60%,34841,10319,3785,197635,36.70%,17.20%,12.80%,78354,39.60%,15.20%,9.10%,1894408,31.40%,8709642,53.90%,4140108,640270,1816132,7459081,2725732,1811192,0
2022-10-27,2978288,6657032,11995058,72.63%,52.70%,45.48%,99579,43.70%,12.50%,5.30%,43562,12475,5235,258299,41.00%,17.50%,15.20%,98807,42.80%,15.70%,10.30%,1874048,31.00%,8483738,53.30%,4163055,658906,1835071,7428372,2730855,1835831,0
2022-10-28,3319608,6400164,12065939,67.37%,52.82%,43.49%,125600,39.40%,14.10%,5.10%,49465,17660,6419,329528,35.00%,19.40%,13.90%,128044,37.70%,17.40%,9.80%,2152737,34.00%,8296854,52.70%,4182679,655679,1561806,7438670,2767425,1859844,0
2022-10-29,3130964,6316002,12086744,67.32%,57.65%,41.12%,108909,40.20%,16.10%,4.60%,43740,17485,4967,266745,35.40%,22.60%,12.10%,102861,38.20%,20.10%,8.60%,2237018,34.90%,8133541,52.20%,4167350,661298,1487354,7435483,2774755,1876506,0
2022-10-30,2928653,6305571,12014299,66.52%,57.83%,39.63%,94767,38.90%,15.10%,4.20%,36870,14285,3933,228225,35.00%,21.50%,11.00%,87656,38.00%,19.00%,7.90%,2255504,35.10%,8069276,52.10%,4162858,673642,1469071,7412444,2744364,1857491,0
2022-10-31,2685971,6263099,11940609,70.51%,55.62%,42.11%,81312,41.80%,13.70%,4.40%,33957,11138,3605,187741,37.40%,18.40%,11.90%,73982,40.30%,16.30%,8.50%,2314343,35.70%,7997629,52.00%,4163577,677999,1421523,7380540,2714669,1845400,1
2022-11-01,2698468,6208498,11915016,70.49%,53.26%,40.99%,83977,41.80%,12.80%,4.50%,35111,10717,3737,189651,37.50%,17.70%,11.50%,75181,40.60%,15.80%,8.40%,2394027,36.50%,7853213,51.70%,4159075,676562,1372861,7350037,2707644,1857335,0
2022-11-02,2701861,6192489,11921543,71.32%,54.13%,42.70%,83962,42.80%,13.20%,4.50%,35946,11117,3794,186670,37.80%,17.70%,12.70%,74344,40.70%,16.20%,9.00%,2441006,37.00%,7703090,51.30%,4155504,678106,1358879,7326780,2715132,1879631,0
2022-11-03,2896622,6178894,11955604,72.01%,51.13%,43.95%,100403,43.00%,12.70%,5.00%,43149,12770,5048,237901,40.00%,16.50%,14.60%,92357,41.60%,14.90%,10.00%,2488009,37.40%,7565857,50.80%,4169023,678930,1330941,7314856,2734395,1906353,0
2022-11-04,3160143,6124399,12024227,67.10%,51.84%,41.20%,119917,39.20%,14.30%,4.90%,46980,17184,5863,297814,33.70%,18.00%,12.60%,115766,36.20%,16.20%,8.90%,2259496,35.30%,7449169,50.50%,4140668,673247,1310484,7315850,2769296,1939081,0
2022-11-05,2973115,6054757,12019031,64.58%,57.78%,41.03%,96495,38.20%,16.30%,4.80%,36847,15767,4630,242417,32.20%,21.40%,12.70%,91522,34.90%,19.70%,9.20%,2216428,35.10%,7382865,50.20%,4099574,660833,1294350,7309656,2767339,1942036,0
2022-11-06,2647339,5965363,11913823,65.57%,59.01%,42.77%,77873,38.20%,16.10%,4.90%,29718,12531,3854,192639,31.50%,21.00%,13.60%,69641,35.00%,19.10%,9.60%,2238766,35.50%,7381752,50.30%,4066805,643939,1254619,7283235,2722618,1907970,0
2022-11-07,2442478,5917494,11801103,69.87%,58.00%,44.06%,65203,41.90%,14.90%,5.20%,27338,9723,3413,167049,35.70%,20.40%,14.50%,59557,38.90%,18.10%,9.80%,2204060,35.20%,7353804,50.40%,4059039,627830,1230625,7245389,2676255,1879459,0
2022-11-08,2485559,5873538,11716134,68.68%,56.26%,44.71%,65073,41.70%,14.70%,5.20%,27124,9594,3407,173893,34.60%,19.40%,14.40%,61673,38.30%,17.70%,10.00%,2160569,34.80%,7255316,50.20%,4047929,608926,1216683,7204560,2640534,1871040,0
2022-11-09,2470816,5833631,11673223,69.87%,56.65%,47.62%,68472,42.20%,14.60%,5.60%,28866,9981,3858,181268,35.90%,18.90%,16.00%,65645,39.10%,17.50%,11.10%,2161156,34.90%,7131120,49.90%,4031333,593436,1208862,7165505,2625423,1882295,0
2022-11-10,2688796,5818996,11693545,71.73%,45.00%,47.26%,92147,43.70%,7.80%,6.00%,40308,7189,5483,243849,38.90%,11.90%,16.50%,89319,40.80%,10.60%,11.20%,2153393,34.90%,6987465,49.50%,4025501,585180,1208315,7138625,2643011,1911909,0
2022-11-11,3019193,5794238,11790522,66.16%,50.74%,42.76%,117741,39.70%,10.80%,5.30%,46726,12751,6241,307929,32.70%,16.30%,13.90%,114838,35.50%,14.20%,9.60%,2128421,34.80%,6831637,48.90%,3995978,583004,1215256,7138920,2694161,1957441,0
2022-11-12,2856177,5750945,11812388,64.55%,57.28%,42.44%,102579,39.30%,13.20%,5.10%,40335,13578,5278,250711,31.50%,21.00%,13.00%,90734,35.00%,18.10%,9.40%,2118687,35.00%,6724598,48.50%,3936070,589088,1225787,7129713,2710515,1972160,0
2022-11-13,2589654,5723437,11726367,65.89%,58.24%,42.92%,84078,37.70%,13.10%,4.90%,31656,11033,4138,199491,30.60%,20.30%,12.40%,71159,34.60%,17.60%,9.20%,2080377,34.90%,6687878,48.50%,3884986,595293,1243158,7097342,2680422,1948603,0
2022-11-14,2432543,5717897,11644036,69.51%,57.45%,43.58%,69663,42.80%,12.80%,5.10%,29831,8925,3548,170176,34.20%,19.10%,12.70%,61646,38.20%,16.80%,9.30%,2048331,34.60%,6613701,48.40%,3869163,599753,1248981,7055216,2652551,1936269,0
2022-11-15,2468451,5711627,11601714,56.34%,54.87%,43.53%,71809,24.00%,12.30%,5.20%,17211,8849,3728,178880,22.70%,17.60%,12.90%,65572,25.60%,16.00%,9.50%,2022320,34.40%,6450300,47.90%,3851218,606489,1253920,7004544,2643296,1953874,0
2022-11-16,2078787,5775232,11707451,77.86%,61.86%,51.19%,86077,51.90%,22.00%,10.10%,44704,18902,8713,148720,45.60%,23.00%,16.60%,62275,45.40%,20.50%,12.00%,2021913,34.70%,6258750,47.40%,3811718,624094,1339420,6955628,2663902,2087921,0
2022-11-17,2712733,5870323,11839187,76.81%,56.86%,49.11%,116726,49.50%,18.20%,8.40%,57727,21243,9844,256456,46.80%,21.40%,17.50%,101618,45.50%,19.00%,11.80%,1993786,34.30%,6039147,46.60%,3825210,648673,1396440,6924497,2715333,2199357,0
2022-11-18,3300664,6059265,12062962,67.87%,52.80%,42.79%,149212,40.70%,16.40%,6.80%,60669,24451,10091,463139,29.90%,16.00%,11.60%,170754,31.30%,14.90%,8.40%,1983982,34.20%,5770271,45.40%,3810256,680144,1568865,6926377,2801844,2334741,0
2022-11-19,3113339,6099644,12165286,67.67%,59.54%,42.15%,118000,41.30%,18.60%,6.30%,48789,22005,7422,306086,33.20%,22.20%,12.40%,119345,33.80%,19.20%,8.70%,2000016,34.80%,5380109,43.90%,3750929,695565,1653150,6881686,2838901,2444699,0
2022-11-20,2869707,6093332,11925380,67.02%,61.78%,43.37%,94513,40.20%,18.40%,5.60%,37959,17383,5327,232228,32.10%,23.40%,12.90%,89448,33.50%,19.90%,9.10%,2038811,35.60%,5640310,45.50%,3684626,706000,1702706,6762518,2804587,2358275,0
2022-11-21,2620025,6035840,11801104,71.12%,59.97%,45.64%,72549,44.10%,17.20%,6.10%,31963,12492,4421,179295,36.40%,21.50%,13.40%,72665,35.80%,17.70%,9.00%,2108384,36.90%,5722832,46.00%,3609513,708886,1717441,6710429,2773846,2316829,0
2022-11-22,2672659,5884815,11774251,70.39%,56.56%,46.06%,76544,43.90%,16.10%,6.00%,33594,12302,4607,205846,35.10%,19.00%,13.10%,90148,31.90%,14.60%,7.90%,2284727,40.00%,5555076,45.50%,3426900,713621,1744294,6652510,2767967,2353774,0
2022-11-23,2737590,6036103,11786989,69.98%,56.26%,46.90%,82269,43.30%,16.00%,6.30%,35619,13154,5218,243515,34.10%,19.10%,14.00%,113125,28.10%,13.10%,7.70%,2182243,37.80%,5457717,45.10%,3592989,709813,1733301,6638900,2773281,2374808,0
2022-11-24,2879258,6132608,11809516,73.02%,53.90%,51.35%,93460,46.40%,15.80%,7.20%,43373,14757,6731,263816,40.70%,19.00%,18.40%,119104,34.70%,14.40%,10.70%,2112472,36.00%,5394424,44.80%,3757851,686547,1688210,6634552,2781327,2393637,0
2022-11-25,3235888,6083780,11919164,69.32%,53.41%,47.37%,120984,42.20%,16.10%,6.60%,51011,19498,8005,333715,36.50%,19.50%,17.10%,149200,32.70%,15.30%,10.40%,2167548,35.80%,5341787,44.50%,3891717,658319,1533744,6654218,2819893,2445053,0
2022-11-26,3228841,6122731,11968294,65.40%,56.32%,47.36%,108935,41.10%,17.30%,6.90%,44826,18854,7477,314016,32.40%,20.30%,17.30%,134176,30.20%,15.80%,10.50%,2139991,35.10%,5326699,44.40%,3959653,649254,1513824,6668359,2829249,2470686,0
2022-11-27,2915634,6142131,11897559,65.32%,57.34%,46.79%,91756,39.60%,16.70%,6.10%,36305,15323,5618,243476,30.20%,19.70%,14.90%,107548,29.30%,15.50%,9.10%,2112111,34.70%,5411021,44.80%,3981221,646497,1514413,6654918,2795405,2447236,0
2022-11-28,2642217,6150386,11808075,70.26%,57.62%,48.60%,75552,44.90%,16.00%,6.10%,33892,12120,4614,174348,37.50%,20.60%,15.90%,72283,39.10%,17.70%,10.60%,2052134,34.00%,5467009,45.20%,3983706,649500,1517180,6619735,2762048,2426292,0
2022-11-29,2688430,6147264,11748796,68.69%,55.81%,48.54%,76699,43.80%,15.30%,6.30%,33583,11726,4868,184331,36.90%,19.40%,16.60%,74740,39.70%,17.30%,11.40%,1909679,32.50%,5444658,45.30%,3975136,649655,1522473,6569641,2743980,2435175,0
2022-11-30,2653355,6113906,11742690,70.21%,55.54%,48.87%,81998,43.80%,14.70%,6.10%,35939,12067,4992,183947,38.40%,19.20%,16.50%,77049,41.10%,17.20%,11.50%,2015789,33.40%,5395805,45.20%,4020314,649384,1444208,6544804,2744666,2453220,1
2022-12-01,2848715,6130050,11768633,71.13%,54.54%,51.18%,97426,44.90%,14.60%,6.60%,43757,14204,6452,234589,40.60%,19.60%,19.20%,96496,42.00%,17.20%,13.30%,2058785,33.60%,5377738,45.10%,4073823,653350,1402877,6537278,2758115,2473240,0
2022-12-02,3073109,6092019,11827022,66.99%,56.90%,48.61%,115073,40.70%,16.90%,6.60%,46855,19460,7590,274716,35.80%,22.30%,18.10%,113692,37.60%,19.70%,12.70%,1998052,32.80%,5383083,45.20%,4085728,647439,1358852,6538460,2789226,2499336,0
2022-12-03,2946030,5995019,11816848,66.74%,59.49%,49.85%,98006,42.00%,17.90%,6.80%,41197,17576,6709,243010,36.30%,24.40%,19.10%,97642,38.90%,21.70%,13.40%,2055824,33.60%,5424268,45.40%,4066907,636510,1291602,6531336,2786829,2498683,0
2022-12-04,2780970,5945667,11722487,67.83%,58.17%,47.65%,87169,43.10%,16.90%,6.20%,37580,14735,5368,218444,36.50%,23.00%,16.60%,86223,39.90%,20.90%,11.70%,2093789,34.10%,5524458,45.90%,4048342,631923,1265402,6499769,2754081,2468637,0
2022-12-05,2672819,5962016,11648205,69.40%,57.72%,47.56%,80929,44.40%,15.70%,6.00%,35943,12698,4836,196883,38.10%,21.30%,16.00%,78021,41.30%,19.20%,11.20%,2102134,34.20%,5570648,46.30%,4048252,637300,1276464,6448383,2738515,2461307,0
