Date,Region,Game Mode Id,Game Mode,Match Mode Id,Match Mode,Is Ugc,Player Users,Lv5 Player Cnt,Lv8 Player Cnt,Lv12 Player Cnt,R2,R7,Game C2,Game C7,Mode C2,Mode C7,Quantile30 Match Cnt,Quantile50 Match Cnt,Quantile70 Match Cnt,Participate Rate,Real Participate Rate,Avg Survival Time,Avg Match Cnt,Avg Match Survival Time,,Date: 2022-01-01 -- 2025-09-30
2022-02-07,ME,15,Clash Squad (CS),6,CS Ranking,False,1592950,1592950,1592950,1550881,63.02%,50.12%,14.95%,24.51%,22.03%,25.37%,2.00,3.00,5.00,40.40%,44.33%,2397.87,4.38,547.99
2022-02-08,ME,1,Battle Royale (BR),2,Ranking Match,False,1471663,1471663,1471663,1433342,64.31%,49.70%,13.05%,24.05%,22.63%,26.25%,2.00,3.00,6.00,37.24%,40.83%,2520.77,5.47,461.04
2022-02-08,ME,15,Clash Squad (CS),6,CS Ranking,False,1600071,1600071,1600071,1557993,63.11%,48.68%,14.76%,25.76%,22.13%,25.55%,2.00,3.00,5.00,40.49%,44.40%,2439.58,4.46,547.46
2022-02-09,ME,1,Battle Royale (BR),2,Ranking Match,False,1491196,1491196,1491196,1451798,64.46%,48.82%,12.88%,24.75%,22.66%,26.43%,2.00,3.00,6.00,37.59%,41.16%,2545.17,5.52,460.90
2022-02-09,ME,15,Clash Squad (CS),6,CS Ranking,False,1601145,1601145,1601145,1558253,63.29%,49.00%,14.58%,26.34%,22.13%,24.66%,2.00,3.00,5.00,40.36%,44.19%,2414.03,4.41,547.96
2022-02-10,ME,1,Battle Royale (BR),2,Ranking Match,False,1534111,1534111,1534111,1492963,60.72%,48.49%,10.74%,25.29%,28.55%,26.22%,2.00,3.00,6.00,37.53%,41.12%,2549.48,5.55,459.33
2022-02-10,ME,15,Clash Squad (CS),6,CS Ranking,False,1638977,1638977,1638977,1594414,65.73%,47.81%,12.28%,27.03%,21.99%,25.16%,2.00,3.00,5.00,40.09%,43.93%,2401.97,4.39,546.86
2022-02-11,ME,1,Battle Royale (BR),2,Ranking Match,False,1511170,1511170,1511170,1469627,61.14%,48.45%,13.16%,25.38%,25.70%,26.18%,2.00,3.00,6.00,29.23%,36.41%,2332.34,5.11,456.44
2022-02-11,ME,15,Clash Squad (CS),6,CS Ranking,False,1854297,1854297,1854297,1805190,59.16%,46.03%,15.23%,27.27%,25.61%,26.70%,2.00,3.00,5.00,35.87%,44.68%,2563.84,4.77,537.86
2022-02-12,ME,1,Battle Royale (BR),2,Ranking Match,False,1527182,1527182,1527182,1488036,61.33%,54.47%,13.22%,22.99%,25.45%,22.54%,2.00,3.00,6.00,32.91%,39.16%,2378.91,5.19,458.65
