Date,Region,A1,A7,A30,AR2,AR7,AR30,New User,NU R2,NU R7,NU R30,NU R2_Abs,NU R7_Abs,NU R30_Abs,Revival7,Revival7 R2,Revival7 R7,Revival7 R30,Revival30,Revival30 R2,Revival30 R7,Revival30 R30,C7,C7 Rate,C30,C30 Rate,Retained 7,New User A7,Revival 7 A7,Retained 30,New User A30,Revival 30 A30,EO Month
10/28/2023,SSA,275344,526173,1016238,68.10%,52.10%,43.10%,15909,46.10%,14.00%,7.60%,7335,2233,1209,22455,39.00%,18.80%,15.80%,8554,40.70%,16.40%,11.10%,164594,31.90%,491965,48.60%,352030,83146,90997,519314,366109,130815,0
10/28/2023,Outside MEA,156724,332360,623718,68.40%,58.80%,44.50%,1490,38.30%,14.70%,7.90%,570,219,118,15751,29.60%,16.60%,11.80%,6996,30.60%,13.30%,8.00%,110625,33.20%,310768,47.20%,222508,9348,100504,347511,39180,237027,0
10/29/2023,Middle East,1212157,2828221,5740192,68.20%,60.10%,43.90%,45409,42.60%,16.10%,6.10%,19364,7304,2779,84116,31.80%,21.30%,13.30%,33518,35.10%,18.40%,9.70%,1022560,35.50%,3652439,53.80%,1860884,380070,587267,3130736,1725165,884291,0
10/29/2023,North Africa,2025020,3844526,6878191,71.40%,65.30%,49.00%,54252,38.10%,15.20%,6.50%,20647,8267,3538,123652,35.70%,25.90%,16.30%,46326,38.10%,22.60%,12.70%,1182400,29.60%,3527001,45.60%,2815508,372288,656730,4203002,1716246,958943,0
10/29/2023,SSA,269478,523961,1019359,60.20%,55.70%,39.90%,14658,36.00%,17.10%,6.00%,5272,2510,875,20216,28.10%,21.70%,12.40%,7510,30.20%,18.90%,8.90%,164979,32.10%,492422,48.60%,349219,82724,92018,521460,366989,130910,0
10/29/2023,Outside MEA,154711,332844,622954,67.50%,58.90%,43.30%,1427,35.40%,14.90%,7.00%,505,212,100,15161,29.20%,18.30%,11.10%,6859,30.60%,15.20%,7.80%,110291,33.10%,309661,47.40%,222672,9262,100910,344012,39374,239568,0
10/30/2023,Middle East,1170296,2818167,5679856,69.00%,57.90%,44.40%,42161,40.70%,14.70%,5.90%,17154,6185,2503,75735,32.20%,19.30%,13.40%,30332,34.40%,17.10%,9.90%,1020875,35.50%,3631230,54.00%,1852879,378850,586438,3094448,1703528,881880,0
10/30/2023,North Africa,1920061,3854675,6823531,74.80%,64.20%,51.10%,44683,39.70%,14.80%,6.80%,17752,6624,3052,103111,39.00%,24.40%,17.30%,38403,39.60%,21.40%,13.40%,1159080,29.20%,3518414,45.70%,2810880,375645,668150,4179702,1689394,954435,0
10/30/2023,SSA,225547,524286,1011224,66.50%,58.70%,44.40%,9379,41.70%,17.30%,7.20%,3913,1627,673,13089,35.00%,22.90%,14.60%,4650,38.00%,20.30%,10.50%,165761,32.20%,496020,48.70%,349007,82752,92527,522678,360102,128444,0
10/30/2023,Outside MEA,147910,333015,622037,68.60%,59.10%,44.40%,1242,36.90%,14.30%,5.60%,458,177,70,12700,30.70%,17.70%,11.90%,5592,31.20%,15.40%,8.80%,110880,33.30%,307078,47.00%,222189,9200,101626,346488,39120,236429,0
10/31/2023,Middle East,1225126,2850908,5679484,73.20%,56.50%,44.60%,57065,46.50%,18.40%,8.30%,26549,10521,4742,103539,38.90%,20.40%,14.70%,40444,38.40%,17.30%,10.60%,1010978,35.30%,3565714,53.70%,1855097,392795,603016,3077837,1710281,891366,1
10/31/2023,North Africa,2129675,3952637,6849729,78.10%,59.30%,48.40%,81591,46.30%,16.50%,8.30%,37757,13480,6772,172980,47.50%,22.10%,17.20%,65430,44.50%,18.20%,12.60%,1119678,28.30%,3474201,45.40%,2832784,407877,711976,4176541,1710209,962979,1
10/31/2023,SSA,224236,528655,1003259,72.20%,54.60%,45.30%,10383,46.20%,17.40%,8.00%,4797,1803,831,15420,40.70%,20.00%,16.50%,5520,40.70%,17.40%,11.80%,165707,32.10%,501450,49.00%,350172,83787,94696,522118,354534,126607,1
10/31/2023,Outside MEA,156149,341014,627225,73.30%,57.10%,45.50%,1124,40.00%,16.90%,9.10%,450,190,102,15917,35.20%,17.10%,13.10%,6715,33.90%,14.70%,9.20%,110406,33.10%,304133,46.80%,222779,9076,109159,345314,38891,243020,1
11/1/2023,Middle East,1373643,2908257,5706191,71.40%,54.60%,45.00%,62823,45.00%,17.00%,7.80%,28286,10692,4908,128992,38.70%,19.40%,15.20%,51550,38.60%,16.90%,11.20%,993898,34.80%,3513720,53.30%,1864199,409308,634750,3077809,1723730,904652,0
11/1/2023,North Africa,2370462,4107640,6948716,75.00%,57.90%,47.00%,96230,43.30%,15.40%,7.30%,41634,14809,6983,202835,44.30%,21.20%,15.90%,83126,43.30%,18.10%,12.00%,1074331,27.30%,3394142,44.70%,2860334,457754,789552,4192725,1762063,993928,0
11/1/2023,SSA,248659,537302,1005693,68.50%,53.60%,44.10%,12884,43.80%,16.80%,7.60%,5640,2161,976,18549,37.90%,19.70%,15.40%,6931,38.90%,17.20%,11.50%,165744,32.00%,499424,48.90%,351962,86864,98476,522819,355002,127872,0
11/1/2023,Outside MEA,170206,345893,631176,71.40%,55.90%,45.20%,1323,36.90%,16.70%,7.00%,488,221,92,17899,36.30%,17.60%,13.50%,7918,36.70%,15.40%,9.60%,109694,32.70%,300250,46.50%,225646,9239,111008,344966,39204,247006,0
11/2/2023,Middle East,1480502,2960680,5754345,73.70%,52.90%,47.30%,78452,47.80%,16.70%,8.90%,37535,13138,6973,155578,43.40%,18.30%,17.50%,67845,42.10%,16.30%,12.70%,984084,34.40%,3476833,53.00%,1879127,423168,658385,3086789,1747743,919813,0
11/2/2023,North Africa,2306207,4200298,7020027,77.70%,57.50%,51.60%,85949,44.80%,14.60%,8.00%,38478,12537,6878,158153,45.50%,20.10%,18.00%,70438,44.00%,17.40%,13.60%,1047631,26.70%,3321557,44.20%,2870669,492797,836832,4199247,1800525,1020255,0
11/2/2023,SSA,236733,539711,1008610,73.80%,56.70%,48.40%,12381,48.20%,17.90%,9.10%,5969,2219,1126,15864,42.90%,21.80%,17.20%,6685,43.80%,18.80%,12.50%,169090,32.40%,494343,48.60%,352288,88181,99242,523308,356120,129182,0
11/2/2023,Outside MEA,173809,350604,638126,73.40%,57.70%,46.80%,1334,40.00%,15.60%,8.00%,533,208,107,18580,39.30%,19.90%,14.40%,8871,39.00%,17.80%,11.10%,110672,32.60%,296698,46.20%,228802,9300,112502,345210,39526,253390,0
11/3/2023,Middle East,1642459,3010596,5850322,67.00%,55.20%,42.90%,92337,41.10%,18.40%,7.30%,37978,16956,6696,187959,35.00%,20.70%,14.00%,84932,34.90%,18.10%,10.50%,974253,34.20%,3422088,52.40%,1878172,436776,695648,3107602,1791099,951621,0
11/3/2023,North Africa,2363933,4231485,7095047,75.00%,59.40%,51.10%,82603,41.10%,15.70%,7.60%,33915,12982,6290,153563,41.10%,21.50%,18.10%,68989,40.00%,18.80%,13.70%,1028008,26.40%,3253442,43.60%,2861910,508614,860961,4208446,1839985,1046616,0
11/3/2023,SSA,252318,540270,1012253,74.10%,56.10%,48.60%,13219,47.70%,18.70%,9.00%,6305,2470,1187,17551,44.90%,21.10%,17.70%,7195,43.80%,18.00%,13.40%,172147,32.90%,494995,48.50%,351716,88813,99741,524684,357869,129700,0
11/3/2023,Outside MEA,174856,349066,641293,70.50%,60.00%,45.50%,1458,38.90%,15.10%,9.90%,567,220,145,17905,35.10%,21.20%,12.90%,8725,35.30%,19.10%,9.90%,111674,33.30%,293300,46.00%,224007,9398,115661,344002,39916,257375,0
11/4/2023,Middle East,1509768,3037883,5865190,65.10%,59.60%,41.20%,68535,39.70%,19.60%,6.30%,27181,13443,4308,135100,31.70%,23.30%,11.90%,61022,32.50%,20.40%,8.90%,971722,34.30%,3413188,52.30%,1862352,446782,728749,3117614,1790410,957166,0
11/4/2023,North Africa,2301014,4235906,7136574,71.90%,63.80%,49.70%,72053,39.10%,17.60%,7.50%,28159,12708,5378,137016,39.50%,24.70%,18.30%,58778,38.30%,21.60%,13.90%,1024114,26.50%,3206536,43.20%,2839732,517361,878813,4216607,1858091,1061876,0
11/4/2023,SSA,275255,539844,1019412,71.30%,56.00%,46.40%,16062,46.70%,18.10%,8.60%,7498,2901,1384,22006,42.40%,21.40%,16.90%,8942,41.10%,18.80%,12.10%,175873,33.40%,496003,48.50%,350300,88966,100578,526540,361467,131405,0
11/4/2023,Outside MEA,166343,345541,639786,70.20%,60.20%,45.60%,1571,35.50%,16.00%,7.60%,558,251,120,16369,32.20%,18.80%,12.90%,8096,31.40%,16.30%,9.30%,113072,34.00%,291632,45.90%,219288,9479,116774,344052,40468,255266,0
11/5/2023,Middle East,1330095,3044822,5800590,69.60%,58.90%,43.20%,50875,42.30%,17.70%,6.30%,21541,9022,3221,94212,34.50%,20.70%,12.50%,42199,35.80%,18.40%,9.40%,980303,34.70%,3447865,52.60%,1847918,452248,744656,3110961,1755137,934492,0
11/5/2023,North Africa,2150851,4237089,7125051,72.70%,65.10%,50.30%,62607,40.00%,18.10%,7.90%,25036,11326,4954,121427,39.40%,24.90%,19.00%,51147,38.70%,22.00%,14.70%,1028294,26.70%,3198975,43.10%,2816232,525716,895141,4216135,1848074,1060842,0
11/5/2023,SSA,274758,532960,1023567,61.90%,59.50%,43.00%,15381,35.90%,21.80%,6.90%,5519,3358,1064,20146,30.40%,25.50%,13.90%,8106,30.50%,21.90%,10.30%,183820,35.10%,499051,48.60%,340141,89689,103130,527622,363481,132464,0
11/5/2023,Outside MEA,159715,342450,637979,69.20%,59.90%,44.10%,1468,33.70%,16.80%,7.20%,494,246,106,14232,30.90%,19.30%,12.00%,6896,30.60%,17.10%,8.60%,115231,34.60%,290980,45.90%,217613,9520,115317,342754,40705,254520,0
11/6/2023,Middle East,1295998,3041943,5764139,70.70%,56.70%,43.00%,47708,43.20%,16.40%,6.10%,20609,7836,2909,87447,35.70%,18.80%,11.80%,39829,36.60%,16.80%,8.90%,996983,35.40%,3438517,52.60%,1821184,457795,762964,3097701,1736971,929467,0
11/6/2023,North Africa,2038835,4219634,7093235,74.80%,64.20%,52.30%,51367,39.80%,17.50%,8.10%,20469,8980,4160,102226,39.30%,24.80%,19.50%,42173,39.20%,22.20%,15.10%,1066740,27.70%,3200690,43.20%,2787935,532400,899299,4207314,1828494,1057427,0
11/6/2023,SSA,228134,525110,1014323,71.20%,61.60%,47.40%,9435,45.20%,19.90%,7.40%,4267,1879,701,12365,40.70%,24.80%,16.70%,4707,41.10%,20.00%,12.00%,191057,36.40%,505487,48.90%,333229,89745,102136,527266,357223,129834,0
11/6/2023,Outside MEA,150662,338540,636620,71.70%,60.60%,45.10%,1140,35.00%,14.70%,6.10%,399,168,70,11576,35.10%,19.00%,12.20%,5549,35.10%,16.40%,8.90%,118361,35.50%,290260,46.00%,214654,9418,114468,340324,40357,255939,0
11/7/2023,Middle East,1296050,3031652,5761281,70.70%,56.00%,44.90%,47931,43.20%,15.90%,6.50%,20706,7598,3115,86111,36.20%,18.90%,13.10%,39560,37.30%,16.70%,9.90%,1019625,35.80%,3371410,52.20%,1831283,448661,751708,3081669,1735716,943896,0
11/7/2023,North Africa,2041073,4161404,7076327,73.60%,61.60%,54.10%,49876,40.10%,16.10%,8.30%,20003,8010,4157,97531,39.80%,23.30%,20.30%,40331,39.40%,20.60%,15.70%,1126384,28.50%,3172081,43.10%,2826253,500685,834466,4194691,1820238,1061398,0
11/7/2023,SSA,230111,519999,1003707,71.40%,57.20%,48.00%,9534,46.00%,17.60%,7.70%,4389,1681,736,12619,41.80%,22.60%,16.70%,4910,40.60%,18.70%,11.70%,196373,37.10%,512867,49.50%,332282,88896,98821,523843,351795,128069,0
11/7/2023,Outside MEA,150154,334121,635661,72.40%,58.90%,46.80%,1136,40.80%,16.90%,8.50%,464,192,96,11754,36.00%,19.50%,13.70%,5592,34.70%,16.80%,10.00%,122033,35.80%,288268,46.00%,218981,9430,105710,338513,39821,257327,0
11/8/2023,Middle East,1312528,2992831,5769702,72.90%,56.40%,46.50%,50844,45.10%,16.40%,6.90%,22921,8344,3504,91020,39.00%,18.90%,14.40%,41819,39.30%,16.80%,10.60%,1068155,36.70%,3316301,51.90%,1840102,436682,716047,3072576,1739779,957347,0
11/8/2023,North Africa,1964812,4034736,7083194,76.10%,65.00%,56.70%,44609,42.10%,17.70%,9.00%,18802,7886,3994,88866,41.50%,25.20%,21.60%,36616,41.50%,22.60%,16.30%,1246846,30.40%,3116069,42.70%,2860794,449064,724878,4184594,1823368,1075232,0
11/8/2023,SSA,233947,509376,1001941,71.90%,57.40%,47.60%,9989,47.20%,17.70%,8.00%,4711,1769,801,13105,42.80%,23.00%,16.80%,5072,41.40%,19.00%,11.10%,206034,38.30%,509117,49.40%,331268,86001,92107,521043,351468,129430,0
11/8/2023,Outside MEA,155433,328979,637666,73.60%,58.60%,47.00%,1247,39.40%,14.10%,7.60%,491,176,95,13144,39.30%,19.80%,13.50%,6103,39.30%,17.40%,10.30%,126810,36.70%,284433,45.60%,219083,9354,100542,338848,39886,258932,0
11/9/2023,Middle East,1490948,3006198,5818389,71.60%,53.40%,46.10%,68485,45.30%,16.20%,7.60%,31007,11067,5192,132341,40.50%,18.20%,16.30%,60052,40.30%,16.30%,11.80%,1071383,36.20%,3264936,51.40%,1889297,426715,690186,3081934,1762123,974332,0
11/9/2023,North Africa,2051710,3967690,7094107,77.40%,62.80%,58.60%,49187,43.40%,16.60%,9.30%,21369,8149,4563,104118,44.00%,23.60%,24.00%,40352,43.10%,21.50%,18.00%,1309735,31.20%,3052999,42.20%,2890563,412302,664825,4175707,1827487,1090913,0
11/9/2023,SSA,240729,509723,1005258,72.30%,57.50%,47.80%,10934,47.10%,18.00%,7.90%,5149,1966,865,14479,42.60%,23.50%,17.60%,5474,41.10%,19.10%,11.80%,204502,37.90%,500236,49.00%,335209,84554,89960,520452,353232,131574,0
11/9/2023,Outside MEA,168900,331093,644154,72.10%,58.40%,46.30%,1237,40.70%,14.70%,7.80%,503,182,96,16492,40.00%,20.50%,14.20%,7666,40.70%,18.60%,10.90%,126211,36.00%,279258,45.20%,224393,9257,97443,338527,40013,265614,0
11/10/2023,Middle East,1604822,3002396,5893138,64.90%,55.70%,42.00%,80641,39.90%,17.60%,6.40%,32184,14169,5181,157474,33.00%,20.70%,13.80%,72388,33.80%,18.50%,10.40%,1082563,36.00%,3217129,50.90%,1928033,415019,659344,3097715,1793661,1001762,0
11/10/2023,North Africa,2228113,3935097,7139877,74.20%,61.80%,55.90%,63636,40.80%,16.50%,8.50%,25968,10474,5422,141378,39.80%,23.10%,22.10%,53852,39.50%,20.70%,16.60%,1330801,31.40%,2993948,41.70%,2900684,393335,641078,4178307,1849609,1111961,0
11/10/2023,SSA,258247,514057,1011436,71.90%,56.00%,47.10%,12885,45.30%,18.10%,8.00%,5832,2338,1029,17412,44.70%,22.60%,18.70%,6449,42.90%,18.50%,13.70%,199056,36.80%,497489,48.80%,341214,84220,88623,521696,356977,132763,0
11/10/2023,Outside MEA,170611,329393,646322,67.80%,59.20%,43.40%,1374,41.00%,17.40%,9.10%,563,239,125,16819,33.70%,20.70%,12.60%,7677,34.90%,18.70%,8.80%,124580,35.70%,276523,44.90%,224486,9173,95734,339565,40253,266504,0
11/11/2023,Middle East,1441191,2978999,5892175,64.70%,60.40%,41.70%,60782,39.00%,19.00%,6.10%,23725,11528,3689,114745,30.50%,22.90%,12.60%,51218,32.20%,19.90%,9.50%,1102000,36.30%,3213614,50.80%,1935883,407266,635850,3107990,1783491,1000694,0
11/11/2023,North Africa,2209336,3901596,7165308,71.00%,65.60%,53.10%,61700,37.80%,18.30%,7.80%,23300,11268,4811,134676,35.70%,25.80%,19.20%,50673,36.40%,22.50%,14.80%,1344916,31.80%,2956038,41.40%,2890990,382982,627624,4181122,1859981,1124205,0
11/11/2023,SSA,281792,519936,1022403,69.30%,54.90%,45.30%,16243,44.70%,17.70%,7.90%,7261,2868,1289,23024,41.60%,21.80%,17.70%,8735,40.40%,18.40%,12.00%,192168,35.60%,494679,48.60%,347676,84401,87859,524149,363262,134992,0
11/11/2023,Outside MEA,162547,327964,645952,69.00%,59.90%,44.30%,1526,37.50%,16.80%,6.60%,572,256,101,15805,31.50%,18.50%,12.60%,7224,30.70%,15.40%,8.30%,123828,35.80%,276699,44.80%,221713,9128,97123,340917,40531,264504,0
11/12/2023,Middle East,1288716,2968522,5827919,68.70%,59.10%,44.30%,48142,41.90%,17.00%,6.30%,20184,8173,3037,85938,33.60%,21.30%,13.50%,36925,35.80%,18.80%,9.90%,1105773,36.30%,3254138,51.20%,1939049,404533,624940,3106427,1747063,974429,0
11/12/2023,North Africa,2053856,3873034,7133279,70.40%,68.00%,52.30%,51565,36.00%,18.80%,7.60%,18583,9690,3900,111018,33.80%,27.20%,18.10%,41724,35.10%,23.90%,13.90%,1347630,31.80%,2960697,41.50%,2889459,371940,611635,4179570,1839553,1114156,0
11/12/2023,SSA,277512,519789,1029054,60.70%,58.80%,42.60%,15405,35.50%,20.30%,6.60%,5464,3128,1024,20942,29.20%,25.30%,14.30%,7906,29.70%,21.80%,10.10%,185676,34.80%,495527,48.50%,347284,84425,88080,525875,367260,135919,0
11/12/2023,Outside MEA,158277,327757,643924,67.50%,59.20%,43.40%,1439,32.90%,16.70%,5.20%,474,241,75,14614,30.40%,18.90%,11.80%,6588,31.50%,16.50%,8.10%,121269,35.40%,278016,44.80%,221181,9099,97477,342501,40593,260830,0
11/13/2023,Middle East,1253391,2961522,5788574,70.70%,57.80%,44.30%,45584,43.10%,15.80%,6.40%,19650,7206,2917,83277,35.00%,20.10%,13.40%,35849,37.60%,17.90%,10.10%,1099981,36.20%,3246892,51.20%,1941962,402409,617151,3094694,1726161,967719,0
11/13/2023,North Africa,1898038,3840191,7075952,76.50%,67.00%,55.10%,40536,42.80%,17.70%,8.20%,17356,7182,3305,89730,40.30%,25.80%,20.20%,32878,42.10%,23.40%,15.90%,1337998,31.70%,2969506,41.60%,2881636,361109,597446,4172234,1805284,1098434,0
11/13/2023,SSA,231015,521601,1021072,70.40%,60.90%,46.90%,9808,44.90%,19.50%,7.30%,4404,1915,717,12848,39.40%,25.10%,16.50%,4639,40.50%,22.10%,11.60%,178145,33.90%,502653,48.80%,346965,84798,89838,526756,361233,133083,0
11/13/2023,Outside MEA,149477,328944,642130,71.20%,60.10%,44.40%,1193,35.50%,15.80%,8.00%,423,188,95,12355,32.80%,18.90%,12.40%,5542,33.40%,16.10%,9.00%,117328,34.70%,278021,44.70%,221212,9152,98580,343469,40242,258419,0
11/14/2023,Middle East,1281511,2961709,5789409,70.80%,57.30%,44.10%,46946,44.10%,16.10%,6.40%,20684,7572,2988,89341,35.60%,20.70%,13.50%,37976,37.70%,18.40%,10.10%,1087194,35.90%,3178426,50.80%,1944458,401424,615827,3081318,1724658,983433,0
11/14/2023,North Africa,2008854,3839511,7057744,74.00%,62.90%,54.20%,48188,40.50%,16.20%,8.20%,19494,7800,3929,107728,37.80%,22.80%,19.80%,39198,39.30%,20.90%,15.30%,1283750,30.80%,2937913,41.30%,2877654,359421,602436,4169890,1791926,1095928,0
11/14/2023,SSA,234734,523971,1012597,70.90%,57.00%,46.90%,9942,45.40%,17.50%,7.00%,4513,1743,699,13206,40.60%,22.60%,16.90%,4790,41.80%,19.80%,12.40%,172161,33.10%,508801,49.20%,347838,85206,90927,524477,356537,131583,0
11/14/2023,Outside MEA,151742,330438,640805,71.90%,58.80%,45.00%,1147,38.70%,15.40%,7.80%,444,177,89,12920,34.30%,18.10%,12.80%,5697,35.20%,15.80%,9.40%,112877,33.80%,276653,44.60%,221244,9163,100031,344104,39896,256805,0
11/15/2023,Middle East,1338700,2982600,5808556,71.70%,54.70%,45.00%,53605,44.10%,15.10%,6.80%,23664,8118,3634,106386,37.30%,19.30%,14.60%,44858,38.30%,17.00%,10.40%,1044114,34.90%,3118363,50.40%,1948717,404185,629698,3073300,1732939,1002317,0
11/15/2023,North Africa,1976422,3852592,7049815,75.40%,65.00%,55.30%,46587,40.80%,16.90%,8.60%,18992,7861,4013,105279,38.60%,24.20%,20.60%,38368,39.50%,21.90%,15.80%,1172649,29.10%,2890228,41.00%,2862087,361399,629106,4165440,1783114,1101261,0
11/15/2023,SSA,241653,527758,1015248,70.90%,56.00%,46.50%,10465,45.60%,17.00%,7.50%,4770,1776,786,14245,38.90%,20.80%,16.30%,5215,40.50%,18.90%,11.70%,160773,31.60%,500805,48.90%,348603,85682,93473,522655,358558,134035,0
11/15/2023,Outside MEA,157929,331995,641284,71.70%,56.50%,45.30%,1221,41.00%,14.70%,7.60%,500,180,93,14439,34.70%,16.90%,13.20%,6414,35.80%,15.40%,9.00%,106784,32.50%,273356,44.30%,222195,9137,100663,344363,39813,257108,0
11/16/2023,Middle East,1509324,3009162,5857992,71.20%,52.00%,44.30%,69441,45.60%,14.80%,7.20%,31671,10291,5027,145866,39.50%,18.40%,15.80%,60991,40.20%,16.10%,11.30%,1032516,34.30%,3072451,50.00%,1973682,405141,630339,3076617,1757981,1023394,0
11/16/2023,North Africa,2060260,3871429,7043205,77.50%,63.30%,57.80%,51063,43.00%,16.50%,9.20%,21975,8433,4693,120937,43.50%,22.70%,24.20%,42312,43.30%,21.20%,18.00%,1105316,27.90%,2838582,40.60%,2862374,363275,645780,4157100,1775679,1110426,0
11/16/2023,SSA,248028,531282,1019262,71.00%,55.90%,46.50%,11314,45.90%,17.60%,7.60%,5197,1996,859,15307,39.10%,21.00%,16.80%,5676,40.70%,19.00%,13.00%,158666,31.10%,491712,48.50%,351057,86062,94163,521178,361177,136907,0
11/16/2023,Outside MEA,168301,336023,646329,71.30%,56.20%,44.80%,1292,41.20%,15.90%,7.40%,532,206,96,16487,36.70%,18.00%,13.40%,7340,38.30%,15.90%,9.50%,105016,31.70%,270022,43.90%,226077,9192,100754,345089,39814,261426,0
11/17/2023,Middle East,1628692,3026283,5929621,64.60%,53.50%,41.50%,83488,39.70%,16.60%,6.60%,33128,13884,5530,169812,33.00%,20.30%,13.90%,73243,35.00%,18.30%,10.30%,1023189,34.10%,3029793,49.60%,1979207,407988,639088,3084100,1792203,1053318,0
11/17/2023,North Africa,2259862,3897063,7075491,75.20%,61.80%,56.00%,67549,41.10%,16.10%,8.60%,27773,10863,5781,159960,40.70%,22.50%,22.80%,57711,40.70%,20.50%,16.50%,1066096,27.10%,2801918,40.30%,2869001,367188,660874,4159164,1788840,1127487,0
11/17/2023,SSA,261699,534650,1024884,71.70%,54.90%,46.00%,12665,45.90%,18.10%,7.80%,5819,2290,985,17559,42.00%,20.90%,17.30%,6387,43.10%,18.90%,12.50%,159377,31.00%,490092,48.40%,354680,85842,94128,521745,364782,138357,0
11/17/2023,Outside MEA,170476,335191,647750,67.40%,57.60%,43.90%,1450,42.60%,16.70%,8.60%,617,242,124,17138,32.50%,19.40%,13.30%,7674,33.90%,18.40%,9.80%,105018,31.90%,268509,43.60%,224375,9268,101548,347336,40062,260352,0
11/18/2023,Middle East,1444790,3003166,5907014,65.40%,58.30%,43.20%,64348,40.20%,18.50%,6.50%,25862,11878,4203,128997,32.40%,22.60%,13.50%,54677,34.90%,20.10%,9.90%,1012722,34.00%,3021644,49.50%,1966277,411554,625335,3085232,1789379,1032403,0
11/18/2023,North Africa,2306534,3922472,7101030,71.00%,64.40%,54.30%,69583,37.60%,17.40%,8.10%,26181,12089,5645,160967,35.80%,24.70%,21.10%,57515,36.90%,22.30%,15.50%,1038790,26.60%,2793227,40.10%,2862806,375071,684595,4168470,1797783,1134777,0
11/18/2023,SSA,285082,537225,1035475,68.90%,54.20%,44.80%,16236,45.00%,17.30%,7.60%,7308,2803,1241,22457,38.80%,20.50%,17.10%,8476,40.00%,18.40%,12.50%,161705,31.10%,488532,48.20%,358231,85835,93159,524710,371001,139764,0
11/18/2023,Outside MEA,195553,367582,680086,70.30%,60.80%,47.10%,2449,37.00%,16.40%,7.50%,905,401,183,17063,31.40%,18.10%,12.90%,7496,32.30%,16.20%,9.20%,105011,32.00%,269168,43.10%,222953,10191,134438,355142,41160,283784,0
11/19/2023,Middle East,1341706,3021571,5851027,68.40%,56.80%,42.50%,54937,42.50%,16.90%,6.10%,23348,9294,3329,112126,34.00%,20.10%,12.40%,47721,37.00%,18.30%,9.20%,1002711,33.80%,3050589,49.70%,1965811,418349,637411,3083415,1762564,1005048,0
11/19/2023,North Africa,2132171,3932584,7063049,70.20%,65.30%,54.50%,56101,35.50%,17.50%,7.50%,19907,9810,4228,126976,32.40%,24.80%,20.30%,46406,34.40%,22.70%,15.30%,1022795,26.40%,2838892,40.50%,2850239,379607,702738,4171097,1775339,1116613,0
11/19/2023,SSA,280186,535250,1040926,61.50%,57.00%,42.90%,15402,36.70%,19.10%,6.50%,5653,2948,999,20826,29.40%,23.90%,14.80%,7599,32.10%,21.40%,11.20%,164273,31.60%,490018,48.20%,355516,85832,93902,526589,373938,140399,0
11/19/2023,Outside MEA,199039,382082,692316,69.50%,60.10%,44.60%,2493,36.80%,17.40%,7.00%,918,433,174,16669,28.70%,17.90%,11.80%,7290,30.20%,15.70%,8.60%,105378,32.20%,271077,43.20%,222379,11245,148458,356849,42190,293277,0
11/20/2023,Middle East,1335948,3052780,5834226,67.10%,53.10%,41.90%,56916,40.90%,15.10%,6.00%,23298,8574,3416,107340,33.10%,17.20%,12.00%,47377,36.30%,16.10%,9.00%,992329,33.50%,3029760,49.60%,1969193,429681,653906,3073268,1758043,1002915,0
11/20/2023,North Africa,1955119,3942550,7008679,75.90%,64.60%,57.20%,43236,41.70%,17.10%,8.20%,18041,7398,3546,94447,38.40%,23.60%,21.30%,34425,40.40%,21.70%,16.10%,995878,25.90%,2878504,40.90%,2844313,382307,715930,4161250,1748019,1099410,0
11/20/2023,SSA,238037,536946,1033063,69.30%,58.40%,46.30%,10155,44.50%,18.60%,7.40%,4520,1887,755,13433,37.60%,23.00%,16.10%,4777,40.80%,20.30%,12.30%,165063,31.60%,497094,48.50%,356538,86179,94229,528046,367905,137112,0
11/20/2023,Outside MEA,195221,393065,700032,70.50%,60.10%,45.00%,2138,39.30%,16.70%,5.70%,840,356,121,14910,31.70%,18.00%,11.40%,6469,33.80%,16.00%,8.60%,105474,32.10%,271203,43.20%,223470,12190,157405,356090,42777,301165,0
11/21/2023,Middle East,1304110,3074139,5846594,69.10%,53.50%,41.70%,53234,43.10%,15.10%,5.80%,22929,8028,3091,103240,35.00%,16.20%,11.00%,45472,38.20%,15.00%,8.10%,988531,33.40%,2948906,49.10%,1973178,435969,664992,3057175,1765350,1024069,0
11/21/2023,North Africa,2055780,3962068,6994959,74.10%,61.90%,55.10%,53820,39.70%,16.30%,8.20%,21358,8797,4403,115358,36.90%,21.80%,20.40%,43004,39.20%,20.60%,15.40%,990871,25.80%,2865462,40.90%,2848640,387939,725489,4143475,1746607,1104877,0
11/21/2023,SSA,238967,539441,1025276,69.90%,56.30%,46.40%,10462,44.60%,17.90%,7.40%,4671,1877,779,14091,38.70%,21.70%,16.50%,5136,42.60%,20.60%,13.10%,165872,31.70%,502697,48.80%,358099,86699,94643,526516,363287,135473,0
11/21/2023,Outside MEA,191868,399679,704504,71.80%,59.10%,46.10%,2041,40.90%,16.80%,7.20%,834,342,147,14487,33.00%,17.80%,12.10%,6311,35.30%,15.50%,8.70%,106244,32.20%,269936,43.20%,224194,13084,162401,355422,43305,305777,0
11/22/2023,Middle East,1324418,3082172,5868404,70.20%,52.50%,45.00%,55524,43.30%,14.30%,6.80%,24026,7928,3776,104982,35.80%,16.10%,13.20%,46832,38.20%,14.70%,9.80%,999760,33.50%,2887374,48.70%,1982840,437888,661444,3046531,1777493,1044380,0
