Date,Region,A1,A7,A30,AR2,AR7,AR30,New User,NU R2,NU R7,NU R30,NU R2_Abs,NU R7_Abs,NU R30_Abs,Revival7,Revival7 R2,Revival7 R7,Revival7 R30,Revival30,Revival30 R2,Revival30 R7,Revival30 R30,C7,C7 Rate,C30,C30 Rate,Retained 7,New User A7,Revival 7 A7,Retained 30,New User A30,Revival 30 A30,EO Month
1/13/2022,Outside MEA,120939,264406,507906,67.60%,46.20%,47.10%,2471,34.20%,10.40%,6.00%,846,256,148,13016,26.30%,9.50%,12.00%,4766,25.80%,6.60%,7.40%,108753,41.20%,231298,44.20%,155050,14435,94921,292437,53745,161724,0
1/14/2022,Middle East,2242814,4378199,8787524,68.20%,51.40%,44.70%,109415,42.50%,12.30%,7.20%,46520,13456,7891,189673,32.70%,16.00%,14.70%,71890,36.20%,13.90%,10.50%,2131423,42.20%,3803133,44.90%,2919754,653747,804698,4676410,2725496,1385618,0
1/14/2022,North Africa,1878539,3382552,6733760,73.10%,54.60%,50.00%,48317,38.80%,9.70%,6.60%,18748,4694,3193,133210,35.90%,15.60%,16.30%,44458,36.30%,12.90%,11.10%,1512021,37.30%,2920099,40.90%,2544921,275069,562562,4214274,1386319,1133167,0
1/14/2022,SSA,5220,11433,22248,71.40%,43.20%,42.20%,255,49.80%,16.50%,11.40%,127,42,29,363,35.30%,11.30%,15.20%,122,33.60%,9.80%,6.60%,5234,40.60%,9155,47.70%,7662,1923,1848,10045,8218,3985,0
1/14/2022,Outside MEA,130062,272394,517485,66.50%,52.30%,46.60%,2694,38.30%,14.70%,6.80%,1031,396,184,14395,25.10%,12.00%,11.50%,5306,24.70%,7.90%,7.50%,109557,40.80%,230162,44.10%,159121,15147,98126,291856,54565,171064,0
1/15/2022,Middle East,2119414,4384615,8815994,70.00%,53.80%,45.30%,93130,44.00%,13.70%,7.20%,40964,12802,6729,154020,34.10%,17.70%,14.40%,57721,37.90%,15.40%,10.40%,1697282,37.10%,3809165,44.80%,2871482,656312,856821,4697754,2731575,1386665,0
1/15/2022,North Africa,1845690,3375223,6743471,70.80%,58.40%,48.70%,45501,35.60%,11.10%,6.10%,16189,5052,2763,126668,34.50%,17.30%,15.10%,42407,34.70%,14.10%,10.30%,1099475,30.70%,2888207,40.70%,2483841,278309,613073,4212426,1391396,1139649,0
1/15/2022,SSA,5697,11247,22503,69.00%,45.10%,38.80%,372,54.30%,14.80%,6.70%,202,55,25,467,36.40%,13.90%,13.90%,148,43.20%,13.50%,8.80%,5037,39.90%,9101,47.30%,7581,1853,1813,10160,8420,3923,0
1/15/2022,Outside MEA,126272,272988,518793,64.70%,50.50%,44.80%,2742,34.30%,13.30%,6.50%,940,366,179,14712,22.90%,11.40%,10.30%,5522,22.80%,8.80%,6.20%,94357,36.80%,229142,43.90%,161821,16037,95130,292777,55287,170729,0
1/16/2022,Middle East,2077158,4401019,8806402,70.70%,53.90%,46.10%,91194,45.00%,13.60%,7.20%,41048,12384,6603,149779,35.40%,17.30%,14.50%,55638,38.30%,15.00%,10.10%,1602445,35.90%,3846516,44.90%,2863842,660847,876330,4713833,2723591,1368978,0
1/16/2022,North Africa,1735768,3357813,6714667,70.00%,61.60%,47.20%,40665,35.80%,12.00%,5.40%,14555,4884,2205,110881,31.50%,19.50%,13.20%,37530,33.00%,16.10%,9.20%,997980,29.00%,2879411,40.60%,2449062,279052,629699,4210063,1377683,1126921,0
1/16/2022,SSA,5883,11169,22865,59.20%,48.90%,33.20%,416,36.80%,16.60%,4.80%,153,69,20,490,31.00%,18.00%,11.00%,165,38.80%,18.20%,5.50%,5128,41.00%,9128,47.20%,7378,1906,1885,10217,8613,4035,0
1/16/2022,Outside MEA,121232,274539,521085,63.80%,52.50%,44.50%,2806,32.60%,14.60%,6.00%,915,410,168,13483,21.80%,12.80%,9.30%,5031,22.10%,9.40%,5.70%,90660,35.50%,228691,44.00%,164693,16814,93032,291359,56402,173324,0
1/17/2022,Middle East,2057338,4406909,8821589,71.00%,53.30%,46.10%,87865,44.90%,13.50%,7.50%,39459,11868,6554,143811,34.60%,16.80%,14.40%,53854,37.70%,14.80%,10.40%,1552241,35.20%,3831863,44.80%,2863726,663122,880061,4715510,2730839,1375240,0
1/17/2022,North Africa,1631757,3350784,6686432,72.60%,62.60%,48.80%,33390,36.90%,12.40%,6.00%,12318,4145,2006,90937,34.80%,19.40%,14.10%,30621,36.10%,16.50%,10.20%,960000,28.30%,2844107,40.40%,2436565,280121,634098,4197762,1365096,1123574,0
1/17/2022,SSA,4753,11141,22793,69.10%,52.30%,37.90%,222,45.90%,20.70%,5.40%,102,46,12,316,36.40%,18.00%,9.80%,105,41.00%,17.10%,4.80%,5012,40.50%,9260,47.30%,7354,1913,1874,10307,8531,3955,0
1/17/2022,Outside MEA,118812,278819,525555,65.70%,53.40%,45.70%,2400,34.60%,14.50%,6.80%,831,349,162,11817,23.80%,12.70%,10.30%,4327,23.40%,9.10%,6.10%,89220,34.80%,228025,43.90%,166840,17279,94700,291286,56894,177375,0
1/18/2022,Middle East,2058400,4415936,8848776,54.50%,53.40%,46.00%,86749,23.80%,13.40%,7.10%,20612,11613,6168,144570,21.40%,17.10%,14.70%,53149,23.10%,15.50%,10.70%,1520378,34.70%,3647943,44.80%,2865218,663281,887437,4501637,2742379,1604760,0
1/18/2022,North Africa,1602010,3319251,6644581,59.20%,60.90%,49.20%,32474,23.50%,11.30%,5.70%,7638,3681,1839,89145,23.80%,18.70%,14.10%,29400,25.30%,16.30%,10.30%,955832,28.20%,2667509,39.70%,2428144,275466,615641,4044203,1346817,1253561,0
1/18/2022,SSA,4953,11243,22763,48.30%,45.70%,37.10%,256,28.50%,11.70%,3.10%,73,30,8,330,17.30%,13.60%,13.30%,107,25.20%,14.00%,12.10%,4872,39.70%,9194,47.30%,7392,1965,1886,10245,8495,4023,0
1/18/2022,Outside MEA,117879,280936,527885,54.00%,52.20%,45.40%,2466,25.80%,13.70%,5.80%,635,339,144,11927,16.60%,12.00%,10.20%,4324,15.20%,9.60%,6.30%,88906,34.50%,221474,43.70%,168551,17794,94591,284803,57450,185632,0
1/19/2022,Middle East,1568805,4391708,8885232,78.10%,61.20%,53.30%,99850,61.10%,31.60%,16.40%,60991,31598,16355,105667,43.10%,21.30%,18.00%,43651,45.50%,20.40%,13.50%,1518785,34.80%,3559291,44.50%,2844350,671254,876104,4439205,2766453,1679574,0
1/19/2022,North Africa,1247078,3266296,6617852,78.40%,66.10%,54.20%,33061,50.60%,23.70%,10.30%,16722,7834,3390,68214,41.80%,22.20%,15.80%,25150,40.30%,18.70%,11.50%,972309,28.80%,2519353,38.90%,2403481,271537,591278,3962566,1336995,1318291,0
1/19/2022,SSA,3397,11207,22850,69.20%,52.90%,44.00%,252,58.30%,23.40%,10.30%,147,59,26,207,44.90%,17.90%,16.40%,74,50.00%,18.90%,12.20%,4812,39.70%,8978,47.10%,7309,1996,1902,10082,8591,4177,0
1/19/2022,Outside MEA,86135,269523,521890,70.40%,59.00%,49.70%,1593,43.40%,20.00%,9.10%,692,319,145,7884,27.40%,13.80%,11.30%,2920,29.00%,12.80%,8.60%,91919,35.10%,210782,43.20%,170046,17172,82305,277366,57481,187043,0
